PDB ID,Chain ID,Macromolecule Name,Source,PFAM Acc [Res Range],Pfam ID,Pfam Description
"11GS","A","GLUTATHIONE S-TRANSFERASE","Homo sapiens","PF14497 [97-195], PF02798 [5-74]","GST_C_3, GST_N","Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain"
"11GS","B","GLUTATHIONE S-TRANSFERASE","Homo sapiens","","",""
"13GS","A","GLUTATHIONE S-TRANSFERASE","Homo sapiens","PF14497 [97-195], PF02798 [5-74]","GST_C_3, GST_N","Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain"
"13GS","B","GLUTATHIONE S-TRANSFERASE","Homo sapiens","","",""
"1A27","A","17-BETA-HYDROXYSTEROID-DEHYDROGENASE","Homo sapiens","PF00106 [4-195]","adh_short","short chain dehydrogenase"
"1A28","A","PROGESTERONE RECEPTOR","Homo sapiens","PF00104 [712-887]","Hormone_recep","Ligand-binding domain of nuclear hormone receptor"
"1A28","B","PROGESTERONE RECEPTOR","Homo sapiens","","",""
"1A29","A","CALMODULIN","Bos taurus","PF13499 [82-145], PF13499 [12-72]","EF-hand_7, EF-hand_7","EF-hand domain pair, EF-hand domain pair"
"1A4G","A","NEURAMINIDASE","Influenza B virus","PF00064 [76-465]","Neur","Neuraminidase"
"1A4G","B","NEURAMINIDASE","Influenza B virus","","",""
"1A4L","A","ADENOSINE DEAMINASE","Mus musculus","PF00962 [8-345]","A_deaminase","Adenosine/AMP deaminase"
"1A4L","B","ADENOSINE DEAMINASE","Mus musculus","","",""
"1A4L","C","ADENOSINE DEAMINASE","Mus musculus","","",""
"1A4L","D","ADENOSINE DEAMINASE","Mus musculus","","",""
"1A52","A","ESTROGEN RECEPTOR","Homo sapiens","PF00104 [336-530]","Hormone_recep","Ligand-binding domain of nuclear hormone receptor"
"1A52","B","ESTROGEN RECEPTOR","Homo sapiens","","",""
"1A7Y","A","ACTINOMYCIN D","Streptomyces antibioticus","","",""
"1A7Y","B","ACTINOMYCIN D","Streptomyces antibioticus","","",""
"1A7Y","C","ACTINOMYCIN D","Streptomyces antibioticus","","",""
"1A8U","A","CHLOROPEROXIDASE T","Kitasatospora aureofaciens","PF00561 [25-263]","Abhydrolase_1","alpha/beta hydrolase fold"
"1A8U","B","CHLOROPEROXIDASE T","Kitasatospora aureofaciens","","",""
"1ACJ","A","ACETYLCHOLINESTERASE","Tetronarce californica","PF00135 [6-524]","COesterase","Carboxylesterase family"
"1ACL","A","ACETYLCHOLINESTERASE","Tetronarce californica","PF00135 [6-524]","COesterase","Carboxylesterase family"
"1AEG","A","CYTOCHROME C PEROXIDASE","Saccharomyces cerevisiae","PF00141 [37-254]","peroxidase","Peroxidase"
"1AFS","A","3-ALPHA-HYDROXYSTEROID DEHYDROGENASE","Rattus norvegicus","PF00248 [19-300]","Aldo_ket_red","Aldo/keto reductase family"
"1AFS","B","3-ALPHA-HYDROXYSTEROID DEHYDROGENASE","Rattus norvegicus","","",""
"1AGM","A","GLUCOAMYLASE-471","Aspergillus awamori","PF00723 [13-425]","Glyco_hydro_15","Glycosyl hydrolases family 15"
"1AJ0","A","DIHYDROPTEROATE SYNTHASE","Escherichia coli","PF00809 [18-257]","Pterin_bind","Pterin binding enzyme"
"1AJ6","A","GYRASE","Escherichia coli","PF02518 [32-174]","HATPase_c","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
"1AKD","A","CYTOCHROME P450CAM","Pseudomonas putida","PF00067 [283-376]","p450","Cytochrome P450"
"1AL4","A","GRAMICIDIN D","Brevibacillus brevis","","",""
"1AL4","B","GRAMICIDIN D","Brevibacillus brevis","","",""
"1ALX","A","GRAMICIDIN A","Brevibacillus brevis","","",""
"1ALX","B","GRAMICIDIN A","Brevibacillus brevis","","",""
"1ALZ","A","ILE-GRAMICIDIN C","Brevibacillus brevis","","",""
"1ALZ","B","VAL-GRAMICIDIN A","Brevibacillus brevis","","",""
"1AM6","A","CARBONIC ANHYDRASE","Homo sapiens","PF00194 [4-259]","Carb_anhydrase","Eukaryotic-type carbonic anhydrase"
"1AO8","A","DIHYDROFOLATE REDUCTASE","Lactobacillus casei","PF00186 [3-160]","DHFR_1","Dihydrofolate reductase"
"1AQ7","A","TRYPSIN","Bos taurus","PF00089 [16-238]","Trypsin","Trypsin"
"1AQ7","B","AERUGINOSIN 98-B","Microcystis aeruginosa","","",""
"1AQB","A","RETINOL-BINDING PROTEIN","Sus scrofa","PF00061 [21-155]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1AQU","A","ESTROGEN SULFOTRANSFERASE","Mus musculus","PF00685 [38-287]","Sulfotransfer_1","Sulfotransferase domain"
"1AQU","B","ESTROGEN SULFOTRANSFERASE","Mus musculus","","",""
"1AV2","A","GRAMICIDIN A","Brevibacillus brevis","","",""
"1AV2","B","GRAMICIDIN A","Brevibacillus brevis","","",""
"1AV2","C","GRAMICIDIN A","Brevibacillus brevis","","",""
"1AV2","D","GRAMICIDIN A","Brevibacillus brevis","","",""
"1AVN","A","CARBONIC ANHYDRASE II","Homo sapiens","PF00194 [4-259]","Carb_anhydrase","Eukaryotic-type carbonic anhydrase"
"1AX9","A","ACETYLCHOLINESTERASE","Tetronarce californica","PF00135 [6-524]","COesterase","Carboxylesterase family"
"1AXW","A","THYMIDYLATE SYNTHASE","Escherichia coli","PF00303 [2-264]","Thymidylat_synt","Thymidylate synthase"
"1AXW","B","THYMIDYLATE SYNTHASE","Escherichia coli","","",""
"1AZM","A","CARBONIC ANHYDRASE I","Homo sapiens","PF00194 [4-259]","Carb_anhydrase","Eukaryotic-type carbonic anhydrase"
"1B02","A","PROTEIN (THYMIDYLATE SYNTHASE)","Bacillus subtilis","PF00303 [6-279]","Thymidylat_synt","Thymidylate synthase"
"1B23","P","ELONGATION FACTOR TU","Thermus aquaticus","PF00009 [9-211], PF03143 [309-403], PF03144 [235-304]","GTP_EFTU, GTP_EFTU_D3, GTP_EFTU_D2","Elongation factor Tu GTP binding domain, Elongation factor Tu C-terminal domain, Elongation factor Tu domain 2"
"1B23","R","CYSTEINYL TRNA","Escherichia coli","","",""
"1B2H","A","PERIPLASMIC OLIGOPEPTIDE-BINDING PROTEIN","Salmonella enterica","PF00496 [56-437]","SBP_bac_5","Bacterial extracellular solute-binding proteins, family 5 Middle"
"1B2H","B","LYS-ORN-LYS","","","",""
"1B2I","A","PROTEIN (PLASMINOGEN)","Homo sapiens","PF00051 [1-80]","Kringle","Kringle domain"
"1BCU","H","ALPHA-THROMBIN","Homo sapiens","PF00089 [16-238]","Trypsin","Trypsin"
"1BCU","I","HIRUGEN","Hirudo medicinalis","","",""
"1BCU","L","ALPHA-THROMBIN","Homo sapiens","PF09396 [1B-14J]","Thrombin_light","Thrombin light chain"
"1BDW","A","GRAMICIDIN A","Brevibacillus brevis","","",""
"1BDW","B","GRAMICIDIN A","Brevibacillus brevis","","",""
"1BKF","A","FK506 BINDING PROTEIN","Homo sapiens","PF00254 [13-104]","FKBP_C","FKBP-type peptidyl-prolyl cis-trans isomerase"
"1BRP","A","RETINOL BINDING PROTEIN","Homo sapiens","PF00061 [21-155]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1BSX","A","PROTEIN (THYROID HORMONE RECEPTOR BETA)","Homo sapiens","PF00104 [269-439]","Hormone_recep","Ligand-binding domain of nuclear hormone receptor"
"1BSX","B","PROTEIN (THYROID HORMONE RECEPTOR BETA)","Homo sapiens","","",""
"1BSX","X","PROTEIN (GRIP1)","","","",""
"1BSX","Y","PROTEIN (GRIP1)","","","",""
"1BU5","A","PROTEIN (FLAVODOXIN)","Desulfovibrio vulgaris","PF00258 [6-137]","Flavodoxin_1","Flavodoxin"
"1BU5","B","PROTEIN (FLAVODOXIN)","Desulfovibrio vulgaris","","",""
